pattern,n_points,bounds,lacunarity_large,lacunarity_medium,lacunarity_small,percolation_r_p,percolation_max_S1_ratio,percolation_critical_degree,multifractal_D0,multifractal_D1,multifractal_D2,multifractal_alpha_min,multifractal_alpha_max,multifractal_Delta_alpha,multifractal_f_alpha_max
singlelinear,500,"[1.0302503085727577, -4.627930992623937, 1009.7778706678781, 1000.534239615492]",2.0514246479285196,7.6584489559674465,24.599740739884457,10.0,1.0,,0.9612528531804931,,1.1456216856125376,0.1,2.3675439439443697,2.2675439439443696,2.5
uniform,500,"[7.0719390004876015, -5.359596592355562, 994.7504155280224, 997.7009832596536]",1.0037858925299101,1.1200388451643444,4.7882407057650545,38.30818965517241,1.0,1.6108189655172414,1.3062711302567283,,1.4355483180357438,0.1,2.8670020185885945,2.7670020185885944,2.5
random,500,"[5.061583846218687, 4.632023004602859, 992.9647961193003, 999.7176732861305]",1.0166797712927327,1.2884594292580438,5.430501918798442,64.38746438746439,1.0,6.719236467236469,1.357631259006241,,1.4044525277547222,0.7141955478848067,2.051968943240019,1.3377733953552124,2.3781583608146555
radial,500,"[2.620075791444151, 0.11262903548799841, 999.1654043129661, 999.3776586169452]",1.8802879538799626,4.907286729594353,10.80847188412239,29.794520547945204,1.0,10.821863013698628,1.2812344712702672,,1.3115400361658394,0.4424986926124923,2.1742264750664186,1.7317277824539263,2.5
singleclustered,500,"[94.84158249136593, 197.0150841713804, 884.8601010569047, 981.5914363318401]",1.375436703208303,2.6843854259969975,5.870791042154512,21.403785488958988,1.0,4.114208201892744,1.4389278200563054,,1.3865983603202345,0.7330206770163634,2.0937215574622274,1.360700880445864,2.4401504738992092
multiclustered,495,"[0.0, 18.299894320594, 1000.0, 1000.0]",1.7501191712645017,3.5085855605786307,8.568831896546763,150.00000000000003,1.0,63.131313131313135,1.2722818859694622,,1.3147620262651296,0.6070646277476184,1.9839839073710772,1.3769192796234588,2.3193820831937093
