threshold,S1_ratio,n_components,avg_degree,clustering,avg_path_length
10,0.014141414141414142,363,0.6222222222222222,0.0771043771043771,2.0476190476190474
25,0.19797979797979798,92,3.6525252525252525,0.4778315735891493,6.662739322533137
50,0.2727272727272727,12,13.604040404040404,0.6325301525838812,3.76318407960199
100,0.45454545454545453,4,40.77171717171717,0.7821345405723898,3.5365873015873017
200,0.5454545454545454,3,85.49090909090908,0.8802772820052501,2.352801872504475
400,1.0,1,167.88282828282829,0.8683297668310865,2.027252279883859
800,1.0,1,409.2646464646465,0.8910115751705997,1.171529055739582
