pattern,n_points,bounds,lacunarity_large,lacunarity_medium,lacunarity_small,percolation_r_p,percolation_max_S1_ratio,percolation_critical_degree,multifractal_D0,multifractal_D1,multifractal_D2,multifractal_alpha_min,multifractal_alpha_max,multifractal_Delta_alpha,multifractal_f_alpha_max
clustered,495,"[-76.76071997887912, 18.299894320594, 1044.003031967154, 1062.5237613874413]",1.728704646516143,3.520912502366424,9.169950050225642,150.00000000000003,1.0,62.20606060606062,1.1699301960297963,,1.296720972359318,0.313108800322783,2.1713342921898806,1.8582254918670977,2.5
random,500,"[5.061583846218687, 4.632023004602859, 992.9647961193003, 999.7176732861305]",1.0166797712927327,1.2884594292580438,5.430501918798442,64.38746438746439,1.0,6.719236467236469,1.357631259006241,,1.4044525277547222,0.7141955478848067,2.051968943240019,1.3377733953552124,2.3781583608146555
grid,484,"[0.0, 0.0, 1000.0, 1000.0]",1.0130571943161761,1.1298593799708487,5.398282161629356,37.47412008281574,1.0,1.905138339920949,1.382584453279736,,1.4306615657952717,0.7526221159238021,2.063161724349945,1.3105396084261427,2.383194905164911
